"COUNTRY","COMP","HLTHEXP","EDUC","DALE","GINI","TROPICS","POPDEN","PUBTHE","GDPC","GEFF","VOICE","HAPPY","Factor.Tropics"
"Afghanistan",52.12959,28.28851,1.358772,37.62949,0.334725,0,38.88943,40.6,884.0158,-1.233,-1.616,10,"0"
"Angola",52.28271,47.17409,2.248598,37.92818,0.444238,1,936.0811,59.6,1310.391,-1.39,-1.003,11,"1"
"Albania",76.70827,63.5321,4.88903,60.17352,0.441193,0,115.9557,77.7,1815.203,-0.653,-0.008,13,"0"
"United Arab Emirates",81.618,811.2903,4.696802,65.04469,0.3679,0,24.15357,32,19484.48,0.138,-0.545,51,"0"
"Argentina",80.76226,750.9926,8.442671,65.93243,0.474325,0,1282.278,57.5,10009.35,0.262,0.482,44,"0"
"Armenia",75.57718,88.66507,7.861154,65.33929,0.285139,0,124.1774,41.5,1935.348,-0.655,0.019,11,"0"
"Australia",90.52848,1500.579,10.42096,71.20222,0.341,0,224.562,72,20632.34,1.459,1.628,62,"0"
"Austria",90.2781,1765.072,7.525875,70.72821,0.2235,0,96.25747,67.3,21900.72,1.219,1.447,57,"0"
"Azerbaijan",73.99906,46.87725,6.806227,63.83143,0.285139,0,90.35733,79.3,1616.457,-0.833,-0.919,13,"0"
"Burundi",59.87803,27.3746,1.957302,35.37568,0.3223,1,254.075,35.6,648.1224,-1.135,-1.288,2,"1"
"Belgium",90.76898,1716.28,9.037189,71.33727,0.2416,0,333.0196,83.2,21832.19,0.883,1.436,56,"0"
"Benin",63.4697,23.5714,1.487338,41.23131,0.444238,1,49.85168,47.2,1283.931,-0.066,0.695,4,"1"
"Burkina Faso",59.8035,33.29662,1.537715,36.1821,0.4621,1,38.26159,30.9,885.904,-0.059,-0.213,3,"1"
"Bangladesh",65.97387,52.11635,2.273876,47.78469,0.3233,0,880.3256,46,1419.614,-0.565,-0.015,16,"0"
"Bulgaria",77.98952,241.6521,9.311997,64.99635,0.2743,0,74.92934,81.9,3994.829,-0.814,0.603,6,"0"
"Bahrain",79.63063,573.8979,4.893201,64.01929,0.3679,0,1217.357,58.5,12306.51,0.235,-1.037,32,"0"
"Bosnia and Herzegovina",77.26235,144.8699,7.905137,64.88881,0.319462,0,68.4550018,92.6,1906.182,-1.108,-0.971,20,"0"
"Belarus",81.98572,321.9766,8.954906,62.99058,0.2099,0,50.1920013,82.6,4272.954,-0.659,-0.521,29,"0"
"Belize",73.8254929,212.2966,3.896607,60.96363,0.474325,1,10.50579,51.6,4516.949,0.554,1.231,44,"1"
"Bolivia",68.99096,135.1976,5.20391,51.45922,0.4062,1,597.7834,59.1,2660.176,-0.223,0.391,34,"1"
"Brazil",68.22833,408.6136,3.910882,58.3428,0.5727,1,1922.859,48.7,6565.337,-0.22,0.552,58,"1"
"Botswana",60.57606,182.5179,4.005845,36.70214,0.441193,1,2.643033,61,5157.362,0.221,0.779,24,"1"
"Central African Republic",47.82005,22.08362,2.039932,37.59466,0.5894,1,5.49989,68.9,1154.47,-0.747,-0.046,12,"1"
"Canada",90.73959,1937.074,10.39449,71.409,0.306,0,312.7715,72,21487.91,1.717,1.362,62,"0"
"Switzerland",91.11234,2499.478,9.254093,71.68045,0.3188,0,172.2328,69.3,26202.4,1.986,1.694,62,"0"
"Chile",84.81009,415.4161,6.945362,67.97839,0.5369,0,19.71762,49,9566.769,1.166,0.615,41,"0"
"China",67.02277,48.62125,6.21514,62.05125,0.3889,0,13329.46,24.9,2771.556,0.016,-1.296,9,"0"
"Ivory Coast",61.70926,61.74765,2.153697,44.62351,0.3536,1,44.40993,38.4,1802.619,-0.18,-0.569,4,"1"
"Cameroon",57.86289,49.04083,3.315153,41.0076,0.444238,1,301.2809,20.1,1744.228,-0.645,-0.703,14,"1"
"Republic of the Congo",60.70486,118.7311,5.135983,45.83652,0.441193,1,7.848245,36.6,2017.197,-0.58,-0.773,8,"1"
"Colombia",82.89871,235.6684,4.950612,62.21415,0.5425,1,3511.532,54.5,5470.452,-0.057,-0.12,46,"1"
"Comoros",64.48311,59.13337,2.804025,44.44762,0.444238,1,255.0355,68.2,1054.651,-0.743666,0.061,2,"1"
"Costa Rica",82.17812,526.2556,5.728269,66.28331,0.453,1,67.25978,77.1,5616.29,0.554,1.345,63,"1"
"Cuba",84.24957,109.2828,7.9089,67.30845,0.3492,0,102.6497,87.5,1734.647,-0.497,-1.461,24,"0"
"Cyprus",87.73157,553.915,7.667553,69.20259,0.3679,0,80.81602,35,12487.21,1.041,1.115,46,"0"
"Czechia",86.06212,638.4891,10.16979,66.75576,0.2432,0,136.1699982,92.3,8423.629,0.595,1.201,39,"0"
"Germany",90.13463,2065.952,9.117691,69.62795,0.2899,0,230.7111,77.5,22468.87,1.409,1.49,43,"0"
"Djibouti",56.84334,47.91993,1.661786,37.87191,0.334725,1,29.78877,72.9,1711.426,-0.235,-0.602,7,"1"
"Dominica",83.35202,286.7744,6.456229,64.20939,0.474325,1,100.847,65,4779.574,-0.833,-0.078,35,"1"
"Denmark",90.49382,1792.466,10.71446,69.24908,0.2393,0,123.3228,84.3,24271.98,1.721,1.633,82,"0"
"Dominican Republic",77.15543,179.2626,4.655016,61.51875,0.4672,1,168.3128,38.5,4153.332,-0.833,-0.078,35,"1"
"Algeria",72.69473,125.6391,4.561303,59.80529,0.3416,0,1262.716,50.8,4007.687,-1.087,-1.31,18,"0"
"Ecuador",72.89397,185.3671,6.19734,59.75651,0.4209,1,46.46882,52.8,4084.988,-0.562,0.268,34,"1"
"Egypt",71.64907,96.01839,3.27986,56.47625,0.2784,0,61.70844,27,3156.843,-0.138,-0.674,10,"0"
"Spain",89.94376,1044.42,7.101693,72.01181,0.3144,0,77.54457,70.6,15186.38,1.603,1.338,36,"0"
"Estonia",80.32989,276.3999,8.620577,61.85543,0.3406,0,32.63972,78.9,5428.406,0.258,0.789,17,"0"
"Ethiopia",51.3287,16.22993,1.792197,34.47367,0.3812,1,5307.809,36.2,521.4947,-0.146,-0.5,12,"1"
"Finland",89.59339,1470.532,9.691003,69.62247,0.2488,0,15.60579,73.7,20322.61,1.635,1.602,75,"0"
"France",91.05387,1935.46,6.99921,72.51885,0.3164,0,104.2245,76.9,21617.45,1.28,1.15,35,"0"
"United Kingdom",90.6273,1141.919,8.921108,71.00001,0.348,0,258.2351,96.9,20590.65,1.966,1.489,54,"0"
"Georgia",77.44279,155.7507,10.32519,66.41756,0.319462,0,77.36629,8.6,2144.914,-0.512,-0.291,10,"0"
"Ghana",64.53224,56.73648,3.920632,43.79796,0.3169,1,79.15656,47,1461.798,-0.287,-0.435,9,"1"
"Guinea",56.03661,51.92607,2.534518,37.80931,0.3876,1,282.2594,57.2,1483.602,-0.029,-0.873,8,"1"
"Equatorial Guinea",58.37903,54.58556,4.234846,42.23885,0.444238,1,15.4514,57.2,2540.019,-1.204,-1.389,8,"1"
"Greece",90.03814,699.1649,8.221205,72.26342,0.3168,0,80.12562,65.8,12081.33,0.56,1.075,31,"0"
"Guatemala",70.5125,109.0921,3.225476,52.67713,0.5695,1,97.58974,62.5,3597.942,-0.225,-0.565,40,"1"
"Guyana",70.12786,74.49631,5.839412,59.21735,0.3844,1,4.03159,79.1,2526.084,0.009,1.01,31,"1"
"Honduras",66.52342,157.3467,4.380926,59.58731,0.5154,1,53.10673,36,2090.615,-0.409,-0.055,37,"1"
"Croatia",84.48454,301.7357,8.607602,66.72998,0.2599,0,73.8330002,79.7,5075.507,0.15,-0.323,26,"0"
"Haiti",62.48465,58.56356,3.175303,44.90775,0.4642,1,275.8844,33.6,1186.75,-1.232,-0.709,4,"1"
"Hungary",82.0611,344.7854,9.092264,63.0449,0.285,0,109.0545,84.9,7037.542,0.606,1.198,13,"0"
"Indonesia",71.95042,48.26081,4.988882,57.65296,0.3487,1,10383.45,36.8,3307.605,-0.528,-1.165,18,"1"
"India",68.42618,71.3253,4.509225,51.41566,0.3558,0,29313.08,13,1622.574,-0.264,0.498,10,"0"
"Ireland",90.1,1014.153,8.22893,69.34448,0.3464,0,34.92001,77.3,19471.57,1.361,1.501,49,"0"
"Iran",70.81664,171.3926,4.240508,58.83414,0.3679,0,3761.498,42.8,4552.368,-0.339,-0.559,19,"0"
"Iraq",70.83776,127.0219,4.381313,57.79858,0.334725,0,506.0222,58.9,2593.688,-1.883,-1.753,11,"0"
"Iceland",90.67265,1652.124,8.337355,70.6584,0.285139,0,2.939686,83.8,22336.83,1.504,1.447,47,"0"
"Israel",89.62062,1186.239,9.501622,69.86395,0.3434,0,278.5973,75,17019.19,0.685,1.083,62,"0"
"Italy",90.36459,1528.634,6.754789,72.05246,0.26492,0,1862.068,57.1,19629.71,0.773,1.287,39,"0"
"Jamaica",77.35585,183.0163,4.833312,66.62946,0.3965,1,231.2673,56.5,3522.981,-0.484,0.75,46,"1"
"Jordan",75.89697,125.4661,6.197104,59.12791,0.3494,0,49.3423,67.2,3431.329,0.63,0.153,30,"0"
"Japan",92.67496,1539.027,9.126405,74.10031,0.2397,0,335.9699,80.2,24691.82,0.839,1.163,19,"0"
"Kazakhstan",80.8582,121.6175,6.906604,58.37509,0.3428,0,579.1731,63.6,3277.51,-0.824,-0.712,22,"0"
"Kenya",66.25568,53.72102,4.002636,42.02465,0.4274,1,49.8693,64.1,1255.19,-0.899,-0.701,9,"1"
"Kyrgyzstan",66.98758,66.12618,6.516621,56.38791,0.3905,0,23.4699993,69.6,1653.155,-0.575,-0.248,13,"0"
"Cambodia",58.17504,73.09781,5.095714,45.74279,0.3843,1,58.14934,9.4,1015.247,0.337,-0.909,3,"1"
"South Korea",84.42123,620.9066,10.47422,64.13139,0.3054,0,477.3148,37.8,12821.7,0.409,1.002,28,"0"
"Kuwait",81.59076,436.5403,6.360345,62.62633,0.3679,0,106.233,87.4,18524.38,-0.063,0,47,"0"
"Laos",59.99717,52.39597,6.536091,46.07714,0.291,1,21.13022,62.7,1455.444,-0.395,-1.05,7,"1"
"Lebanon",74.68958,90.58173,6.503596,59.41225,0.3679,0,402.4357,29.6,5555.69,0.174,-0.404,21,"0"
"Liberia",50.09993,33.29099,2.549784,33.94171,0.444238,1,29.80719,66.7,1109.7,-0.922,-0.888,5,"1"
"Libya",75.39095,220.463,6.32472,59.32537,0.3679,0,321.4071,54.2,6484.204,-1.322,-1.346,24,"0"
"Sri Lanka",76.3818,69.98882,6.139225,61.75496,0.3324,1,281.03,45.4,2557.6,-0.612,-0.157,10,"1"
"Lithuania",80.09408,186.1436,8.041306,63.21535,0.3127,0,57.53334,75.7,4518.349,0.127,0.767,25,"0"
"Luxembourg",91.09504,1612.042,8.646609,70.57317,0.2609,0,159.7377,91.4,30264.31,1.674,1.461,45,"0"
"Latvia",76.97948,164.518,8.769809,61.33195,0.3117,0,38.51478,61,4039.249,0.068,0.625,11,"0"
"Morocco",73.95412,150.8243,2.148107,57.41249,0.3821,0,40.50924,40.7,3006.085,0.267,-0.24,10,"0"
"Moldova",76.68364,122.1636,7.784933,62.21608,0.3322,0,128.4036,75.1,1607.085,-0.46,0.161,25,"0"
"Madagascar",57.8296,17.84211,3.374264,36.6094,0.4414,1,23.90373,53.8,849.6241,-0.295,0.309,7,"1"
"Mexico",80.36516,436.6107,7.199665,64.31928,0.513,1,4771.601,41,7480.272,0.179,-0.108,52,"1"
"Mali",52.07639,18.63399,0.9387497,31.65963,0.4836,1,819.941,45.8,802.3489,-0.052,0.415,5,"1"
"Malta",86.96616,709.6706,5.318271,69.89934,0.285139,0,1128.159,58.9,12013.18,0.629,1.413,40,"0"
"Burma",50.76779,37.40006,2.694401,49.67385,0.343567,1,66.55068,12.6,3050.58,-1.461,-1.748,16,"1"
"Mongolia",67.08947,68.17729,6.247375,53.73906,0.3216,0,160.7245,82,1585.518,0.018,0.843,7,"0"
"Mozambique",49.52257,32.61242,0.9757626,33.16264,0.3796,1,21.32993,71.3,856.0034,-0.331,-0.172,10,"1"
"Mauritania",55.54007,66.8754,2.575172,39.71563,0.3758,1,236.2041,30.3,1305.093,-0.656,-0.971,10,"1"
"Malawi",53.37005,44.98674,2.85435,30.34622,0.441193,1,108.7929,59.2,850.2955,-0.625,0.062,25,"1"
"Malaysia",80.31348,169.2946,6.234735,60.75206,0.4657,1,66.40154,57.6,8580.12,0.714,-0.144,15,"1"
"Namibia",59.85852,364.4986,3.9444,36.42857,0.441193,1,1.982742,51.7,4135.5,0.044,0.473,11,"1"
"Niger",49.89964,26.95492,0.9271404,28.38013,0.4881,1,828.4401,46.6,766.5248,-1.387,-0.744,3,"1"
"Nigeria",49.36736,27.55931,3.541323,36.03014,0.4809,1,130.5448,28.2,1135.296,-1.321,-1.234,18,"1"
"Nicaragua",72.32797,125.9937,3.810231,56.03069,0.4814,1,39.36331,53.3,1872.27,-0.547,0.069,30,"1"
"Netherlands",91.29739,1800.407,8.897238,71.93632,0.3136,0,373.7532,70.7,21614.34,2.03,1.607,68,"0"
"Norway",91.16924,1761.33,8.190187,70.95346,0.2507,0,14.3934,82,26092.33,1.666,1.654,69,"0"
"Nepal",56.71525,42.56554,1.945935,47.26181,0.3516,0,149.7128,26,1102.669,-1.038,0.047,7,"0"
"New Zealand",88.79801,1225.766,11.22,68.26979,0.29035,0,13.90727,71.7,17038.7,1.571,1.457,63,"0"
"Pakistan",66.00882,70.13489,4.330679,54.24062,0.2986,0,1621.015,22.9,1768.268,-0.744,-0.441,27,"0"
"Panama",77.07034,389.9866,8.162378,65.08427,0.4686,1,36.78779,74,6004.396,-0.277,0.665,58,"1"
"Peru",70.06952,200.8851,6.557702,57.72616,0.443,1,1879.318,39.7,4400.543,0.173,-0.687,25,"1"
"Philippines",79.1925,78.11317,7.181673,57.19992,0.4429,1,251.3176,48.5,2892.566,0.126,0.614,15,"1"
"Poland",84.86331,299.124,9.584707,65.28471,0.317,0,123.7347,71.6,6334.302,0.674,1.07,28,"0"
"Portugal",86.93298,776.5722,6.059676,68.81223,0.3441,0,97.88559,57.5,12954.06,1.151,1.479,22,"0"
"Paraguay",77.13239,154.7002,5.151762,62.09007,0.5637,0,12.72439,35.6,3648.167,-1.1,-0.419,32,"0"
"Qatar",81.05595,1037.207,6.048028,63.41601,0.3679,0,65.19934,57.5,17140.38,0.48,-0.775,41,"0"
"Romania",78.21752,114.2403,9.559786,62.7994,0.2728,0,94.76482,60.3,3559.234,-0.57,0.406,21,"0"
"Russia",74.01841,212.8452,9.379188,60.97159,0.4641,0,8756.286,76.8,4680.818,-0.595,-0.311,21,"0"
"Rwanda",56.3897,37.96833,3.088496,32.81456,0.2784,1,344.0166,50.1,825.3057,-1.204,-1.175,3,"1"
"Saudi Arabia",78.88734,371.0197,3.40883,63.33136,0.3679,0,1036.877,89.6,9608.968,-0.349,-1.103,27,"0"
"Sudan",60.14378,33.09784,1.660916,40.18339,0.334725,1,1107.26,20.9,1260.87,-1.697,-1.498,7,"1"
"Senegal",69.47527,64.64751,2.383482,42.74144,0.3956,1,446.6203,55.7,1582.494,0.047,-0.292,6,"1"
"Singapore",88.03452,652.0869,6.155773,68.71217,0.29035,1,6034.416,35.8,25322.54,2.082,0.04,19,"1"
"Sierra Leone",35.69057,31.44406,2.573255,25.92086,0.6091,1,66.30461,9.7,641.7155,0.009,-1.623,3,"1"
"El Salvador",67.86023,154.3263,3.592362,59.22853,0.5001,1,290.1394,37.2,3246.094,-0.262,-0.1,42,"1"
"Somalia",49.36176,11.06188,1.0606,36.31383,0.334725,1,13.70896,71.4,737.4588,-1.697,-1.694,18,"1"
"Slovakia",83.77671,269.0399,10.16979,65.84834,0.1873,0,111.2180023,81.8,7057.612,-0.032,0.738,21,"0"
"Slovenia",86.4761,835.5659,8.871078,67.27425,0.2604,0,95.5189972,80.8,11083.81,0.567,1.066,27,"0"
"Sweden",90.96922,1837.521,9.59424,72.25932,0.2429,0,19.95147,78,21093.61,1.573,1.628,68,"0"
"Syria",71.11044,95.06709,5.457739,57.35205,0.3679,0,79.23328,33.6,4293.097,-1.181,-1.358,10,"0"
"Togo",60.95445,42.56456,3.261572,41.70441,0.444238,1,75.84976,42.8,1230.593,-0.374,-1.051,1,"1"
"Thailand",80.55582,267.0333,5.834805,60.04078,0.3988,1,117.6426,33,6130.667,0.01,0.215,20,"1"
"Tajikistan",67.11851,105.7588,7.912294,56.04052,0.319462,0,41.29302,87.8,1231.329,-1.423,-1.565,7,"0"
"Turkmenistan",67.62697,53.1764,7.659199,54.52082,0.3932,0,8.7559996,86,2086.394,-1.252,-1.451,52,"0"
"Trinidad and Tobago",79.71739,286.5211,7.276237,63.69416,0.389,1,253.7658,58.6,7771.288,0.521,0.953,44,"1"
"Tunisia",76.04214,217.1699,4.382005,59.7591,0.3864,0,59.24768,41.7,4600.777,0.633,-0.589,14,"0"
"Turkey",73.75501,189.309,4.042817,61.08082,0.3979,0,80.39946,74,5872.366,-0.412,-0.859,13,"0"
"Uganda",60.72412,34.18021,1.891651,35.2766,0.3743,1,99.05495,38.7,1064.219,-0.251,-0.517,6,"1"
"Ukraine",81.32495,169.1897,9.132311,64.34843,0.3132,0,85.21548,75.5,2303.061,-0.893,-0.008,21,"0"
"Uruguay",80.52442,543.952,7.302912,66.32887,0.4075,0,18.3448,20.3,8476.808,0.618,0.77,41,"0"
"United States of America",90.44346,3326.02,11.5,69.72151,0.3924,0,2883.17,44.1,27162.55,1.366,1.505,57,"0"
"Uzbekistan",73.69603,124.7912,7.066649,60.35472,0.3227,0,52.61611,80.9,2608.276,-1.305,-1.343,18,"0"
"Venezuela",77.78915,300.7437,5.087951,64.33379,0.4684,1,24.87126,67.4,7705.707,-0.849,0.179,50,"1"
"Vietnam",65.01073,52.71697,8.407147,57.32494,0.3461,1,232.4986,20,1354.894,-0.3,-1.416,14,"1"
"Yemen",60.88839,32.15713,1.417066,48.41396,0.3798,1,40.1066,37.9,975.4692,-0.621,-0.415,14,"1"
"South Africa",59.78759,551.256,5.558424,39.22404,0.5707,0,3343.239,46.5,5621.199,-0.01,0.991,21,"0"
"Zambia",57.84963,47.68624,5.004884,33.34867,0.476,1,12.70456,53.3,1089.233,-0.399,-0.046,14,"1"
"Zimbabwe",63.25481,101.26,3.744563,34.62983,0.5427,1,29.63358,48,2103.093,-1.129,-0.666,10,"1"
